Date,Time,Type,Strike,Open_5m
2025-01-04,12:10,PE,22850,261.15
2025-01-04,12:10,PE,22900,279.3
2025-01-04,12:10,PE,22950,300.6
2025-01-04,12:10,PE,23000,307.05
2025-01-04,12:10,PE,23100,336.1
2025-01-04,12:10,PE,23200,374.2
2025-01-04,12:10,PE,23300,405.0
2025-01-04,12:10,PE,23350,442.15
2025-01-04,12:10,PE,23400,446.65
2025-01-04,12:10,PE,23450,462.75
2025-01-04,12:10,PE,23500,494.55
2025-01-04,12:10,PE,23600,532.2
2025-01-04,12:10,PE,23650,570.25
2025-01-04,12:10,PE,23800,639.35
2025-01-04,12:10,PE,24000,770.2
2025-01-04,12:10,PE,24100,820.0
2025-01-04,12:10,PE,24500,1118.0
2025-01-04,12:15,CE,22500,1184.0
2025-01-04,12:15,CE,22800,949.6
2025-01-04,12:15,CE,22900,869.0
2025-01-04,12:15,CE,23000,785.4
2025-01-04,12:15,CE,23100,723.0
2025-01-04,12:15,CE,23200,664.0
2025-01-04,12:15,CE,23300,601.0
2025-01-04,12:15,CE,23400,543.0
2025-01-04,12:15,CE,23500,478.4
2025-01-04,12:15,CE,23600,426.3
2025-01-04,12:15,CE,23650,411.25
2025-01-04,12:15,CE,23700,377.3
2025-01-04,12:15,CE,23750,363.05
2025-01-04,12:15,CE,23800,334.15
2025-01-04,12:15,CE,23850,314.3
2025-01-04,12:15,CE,23900,290.5
2025-01-04,12:15,CE,23950,279.75
2025-01-04,12:15,CE,24000,257.1
2025-01-04,12:15,CE,24050,243.7
2025-01-04,12:15,CE,24100,225.55
2025-01-04,12:15,CE,24150,210.4
2025-01-04,12:15,CE,24200,190.5
2025-01-04,12:15,CE,24250,177.35
2025-01-04,12:15,CE,24300,164.35
2025-01-04,12:15,CE,24350,155.25
2025-01-04,12:15,CE,24400,141.0
2025-01-04,12:15,CE,24450,133.8
2025-01-04,12:15,CE,24500,120.6
2025-01-04,12:15,CE,24550,114.35
2025-01-04,12:15,CE,24600,103.6
2025-01-04,12:15,CE,24700,88.3
2025-01-04,12:15,CE,24750,82.2
2025-01-04,12:15,CE,24800,76.0
2025-01-04,12:15,CE,24850,72.0
2025-01-04,12:15,CE,24900,65.5
2025-01-04,12:15,PE,21400,57.95
2025-01-04,12:15,PE,21500,66.3
2025-01-04,12:15,PE,21600,54.5
2025-01-04,12:15,PE,21800,84.65
2025-01-04,12:15,PE,22000,108.3
2025-01-04,12:15,PE,22100,116.3
2025-01-04,12:15,PE,22200,125.65
2025-01-04,12:15,PE,22300,143.9
2025-01-04,12:15,PE,22350,162.6
2025-01-04,12:15,PE,22400,160.5
2025-01-04,12:15,PE,22500,181.6
2025-01-04,12:15,PE,22600,197.5
2025-01-04,12:15,PE,22650,205.2
2025-01-04,12:15,PE,22700,221.8
2025-01-04,12:15,PE,22800,245.65
2025-01-04,12:15,PE,22850,254.9
2025-01-04,12:15,PE,22900,265.5
2025-01-04,12:15,PE,22950,281.65
2025-01-04,12:15,PE,23000,303.55
2025-01-04,12:15,PE,23050,311.35
2025-01-04,12:15,PE,23100,330.0
2025-01-04,12:15,PE,23150,337.75
2025-01-04,12:15,PE,23200,365.0
2025-01-04,12:15,PE,23250,378.6
2025-01-04,12:15,PE,23300,400.3
2025-01-04,12:15,PE,23400,431.45
2025-01-04,12:15,PE,23450,453.0
2025-01-04,12:15,PE,23500,487.55
2025-01-04,12:15,PE,23550,495.4
2025-01-04,12:15,PE,23600,531.15
2025-01-04,12:15,PE,23700,576.25
2025-01-04,12:15,PE,23800,623.95
2025-01-04,12:15,PE,23850,661.7
2025-01-04,12:15,PE,23900,689.3
2025-01-04,12:15,PE,24000,750.1
2025-01-04,12:15,PE,24200,876.85
2025-01-04,12:15,PE,24300,949.85
2025-01-04,12:15,PE,24400,1062.0
2025-01-04,12:15,PE,24500,1104.1
2025-01-04,12:20,CE,22000,1605.6
2025-01-04,12:20,CE,22300,1306.75
2025-01-04,12:20,CE,22400,1212.0
2025-01-04,12:20,CE,22500,1179.0
2025-01-04,12:20,CE,22600,1077.95
2025-01-04,12:20,CE,22650,1050.0
2025-01-04,12:20,CE,22800,930.2
2025-01-04,12:20,CE,22900,874.85
2025-01-04,12:20,CE,23000,799.0
2025-01-04,12:20,CE,23100,718.8
2025-01-04,12:20,CE,23200,671.7
2025-01-04,12:20,CE,23300,605.1
2025-01-04,12:20,CE,23400,528.45
2025-01-04,12:20,CE,23500,489.15
2025-01-04,12:20,CE,23600,435.0
2025-01-04,12:20,CE,23700,387.65
2025-01-04,12:20,CE,23800,340.0
2025-01-04,12:20,CE,23900,299.45
2025-01-04,12:20,CE,24000,264.9
2025-01-04,12:20,CE,24100,224.95
2025-01-04,12:20,CE,24150,205.0
2025-01-04,12:20,CE,24200,194.0
2025-01-04,12:20,CE,24250,175.75
2025-01-04,12:20,CE,24300,169.45
2025-01-04,12:20,CE,24400,143.95
2025-01-04,12:20,CE,24500,124.6
2025-01-04,12:20,CE,24600,104.45
2025-01-04,12:20,CE,24650,97.5
2025-01-04,12:20,CE,24700,90.0
2025-01-04,12:20,CE,24800,78.05
2025-01-04,12:20,CE,24850,70.0
2025-01-04,12:20,CE,24900,65.5
2025-01-04,12:20,PE,21400,57.95
2025-01-04,12:20,PE,21500,64.7
2025-01-04,12:20,PE,21600,68.9
2025-01-04,12:20,PE,21800,84.75
2025-01-04,12:20,PE,22000,105.0
2025-01-04,12:20,PE,22100,114.1
2025-01-04,12:20,PE,22200,128.0
2025-01-04,12:20,PE,22300,139.4
2025-01-04,12:20,PE,22350,156.05
2025-01-04,12:20,PE,22400,162.85
2025-01-04,12:20,PE,22500,176.0
2025-01-04,12:20,PE,22600,201.05
2025-01-04,12:20,PE,22700,221.55
2025-01-04,12:20,PE,22800,239.65
2025-01-04,12:20,PE,22900,265.05
2025-01-04,12:20,PE,22950,286.4
2025-01-04,12:20,PE,23000,292.55
2025-01-04,12:20,PE,23050,316.8
2025-01-04,12:20,PE,23100,323.2
2025-01-04,12:20,PE,23200,355.5
2025-01-04,12:20,PE,23250,386.4
2025-01-04,12:20,PE,23300,394.95
2025-01-04,12:20,PE,23400,437.05
2025-01-04,12:20,PE,23500,471.75
2025-01-04,12:20,PE,23600,520.25
2025-01-04,12:20,PE,23700,576.05
2025-01-04,12:20,PE,23800,639.3
2025-01-04,12:20,PE,23850,652.65
2025-01-04,12:20,PE,24000,743.55
2025-01-04,12:20,PE,24500,1093.95
2025-01-04,12:25,CE,22600,1077.45
2025-01-04,12:25,CE,22800,930.0
2025-01-04,12:25,CE,23000,790.0
2025-01-04,12:25,CE,23100,716.55
2025-01-04,12:25,CE,23200,654.0
2025-01-04,12:25,CE,23300,589.6
2025-01-04,12:25,CE,23400,537.8
2025-01-04,12:25,CE,23500,477.8
2025-01-04,12:25,CE,23600,427.0
2025-01-04,12:25,CE,23700,375.45
2025-01-04,12:25,CE,23800,333.85
2025-01-04,12:25,CE,24000,256.0
2025-01-04,12:25,CE,24100,222.85
2025-01-04,12:25,CE,24150,207.4
2025-01-04,12:25,CE,24200,189.05
2025-01-04,12:25,CE,24250,176.2
2025-01-04,12:25,CE,24300,164.4
2025-01-04,12:25,CE,24350,152.05
2025-01-04,12:25,CE,24400,142.1
2025-01-04,12:25,CE,24500,121.1
2025-01-04,12:25,CE,24600,104.0
2025-01-04,12:25,CE,24650,97.5
2025-01-04,12:25,CE,24700,89.3
2025-01-04,12:25,CE,24800,76.65
